,date,account_value
273,2022-11-01,923423.3771777267
274,2022-11-02,906778.2938876266
275,2022-11-03,903702.1275363083
276,2022-11-04,921850.9937701339
277,2022-11-07,931163.9367175216
278,2022-11-08,939250.5208850021
279,2022-11-09,923107.0534930343
280,2022-11-10,964355.1330065841
281,2022-11-11,968409.1369204635
282,2022-11-14,965057.1343722458
283,2022-11-15,964216.7783999557
284,2022-11-16,958442.6208224411
285,2022-11-17,955604.6857409591
286,2022-11-18,962363.7853427047
287,2022-11-21,962221.0484881515
288,2022-11-22,974868.7448077316
289,2022-11-23,978027.0058016891
290,2022-11-25,978229.6303897018
291,2022-11-28,962685.5206332321
292,2022-11-29,968693.3102679367
293,2022-11-30,987423.979114067
294,2022-12-01,980521.1811785812
295,2022-12-02,982196.5847506637
296,2022-12-05,968821.7058444137
297,2022-12-06,959042.9722933883
298,2022-12-07,958644.6245303268
299,2022-12-08,963619.2867541427
300,2022-12-09,958246.4012484665
301,2022-12-12,975424.148242485
302,2022-12-13,979435.8856234665
303,2022-12-14,973226.1036715622
304,2022-12-15,951358.8306384201
305,2022-12-16,945038.4182925338
306,2022-12-19,943296.4249987716
307,2022-12-20,947844.7825961227
308,2022-12-21,964860.2554431076
309,2022-12-22,952412.649867546
310,2022-12-23,957502.2452883834
311,2022-12-27,960951.1313357467
312,2022-12-28,948848.0936389084
313,2022-12-29,959603.2885928268
314,2022-12-30,958979.3483386154
315,2023-01-03,959418.5841403122
316,2023-01-04,972027.3696169967
317,2023-01-05,962430.8323321457
318,2023-01-06,989709.0773043747
319,2023-01-09,984427.880198967
320,2023-01-10,991142.0462527389
321,2023-01-11,994930.0212435836
322,2023-01-12,1002077.4625811691
323,2023-01-13,1010575.4184069748
324,2023-01-17,998872.3822360153
325,2023-01-18,979395.4512744064
326,2023-01-19,964353.149981987
327,2023-01-20,977118.376971733
328,2023-01-23,987644.7802691574
329,2023-01-24,995423.7267565841
330,2023-01-25,996926.986499321
331,2023-01-26,1003829.1159701461
332,2023-01-27,1022086.759280693
333,2023-01-30,1014077.745395195
334,2023-01-31,1016981.4221987838
335,2023-02-01,1014819.383739006
336,2023-02-02,1013008.472247612
337,2023-02-03,1021184.3380770797
338,2023-02-06,1019121.2353243942
339,2023-02-07,1026202.3594012375
340,2023-02-08,1019330.4809527511
341,2023-02-09,1011776.7187991256
342,2023-02-10,1014448.4249758834
343,2023-02-13,1025163.0002093429
344,2023-02-14,1019821.8438906784
345,2023-02-15,1024568.592685234
346,2023-02-16,1012956.2058138961
347,2023-02-17,1016873.4464984054
348,2023-02-21,996439.1205859298
349,2023-02-22,995709.0124392624
350,2023-02-23,997558.0731005783
351,2023-02-24,988826.2571978683
352,2023-02-27,993625.3612017746
