,a2c_with_rc,a2c_no_rc,sac_with_rc,sac_no_rc,mean var,dji
2022-02-02,1130404.5143281328,1026940.095883198,1094155.09659898,1032436.6626038055,1047695.7524927368,1037955.1853560493
2022-02-03,1123472.5404390756,1003486.3417973672,1082184.5618127557,1023537.5244545441,1034910.948053491,1022859.8928441457
2022-02-04,1118929.890218403,1012996.3115460244,1073069.069545147,1023200.3329796295,1028135.5137281527,1022235.829820608
2022-02-07,1120305.745366726,1010538.3582875329,1072304.320819256,1027129.4416641693,1024379.2382357258,1022276.3415704949
2022-02-08,1133458.0163689654,1027647.710340336,1082411.3710130425,1044090.676371048,1038506.3619683661,1033103.3343218503
2022-02-09,1134702.2947842905,1038483.5582024117,1091622.8434518548,1050960.9158424835,1048813.4115408203,1041996.6875954616
2022-02-10,1114926.8021481135,1016652.3534906617,1074766.9548867913,1036520.3869385223,1024863.6889318404,1026659.5763517894
2022-02-11,1108692.123938019,996562.0180307237,1061642.1520608636,1018714.4658264618,1004975.6988594718,1011990.6813871495
2022-02-14,1098707.4258290408,992507.9212893983,1058339.3847116204,1011474.5285934906,1004821.7980511729,1006983.2697852672
2022-02-15,1100706.3748101275,1005997.4775007325,1070181.2407716485,1024216.7971252899,1019359.6299413721,1019296.4520128081
2022-02-16,1097725.6558846515,1001253.2535025903,1070517.3755601617,1020683.7259697418,1017019.9654906869,1017706.7072209007
2022-02-17,1087403.3498620074,976569.5513605119,1055382.1967729302,1005015.475325058,998460.6471440819,999579.633696399
2022-02-18,1085612.1486558001,967568.2520271074,1047545.829764721,996866.9383949738,992535.3018301436,992796.1915313601
2022-02-22,1080338.6451500934,961843.2838299028,1026923.2438348504,969982.1908707123,954149.1655265228,978737.931538329
2022-02-23,1067620.9043816607,947224.8906340677,1012946.0426706048,959353.3226379852,936136.1416042692,965195.9687622546
2022-02-24,1059875.6689766925,958751.8363445475,1012175.8305505486,960660.3095688324,946488.6785628992,967878.051439453
2022-02-25,1087416.1768375665,982538.5303895304,1041893.1916764947,985932.9256462555,966132.9369656991,992201.0329585845
2022-02-28,1080381.0357700617,975421.1673028299,1035850.277987835,982188.9085106354,965340.0491072049,987360.7892235103
2022-03-01,1071461.221728924,956591.7534005472,1017717.1435846062,966323.0588325958,963333.6933539752,969949.9543332437
2022-03-02,1088283.850986126,976312.3623521158,1029934.9477494927,984900.0316566925,982865.2456066163,987324.3741674323
2022-03-03,1087581.0850788385,972973.4265420267,1031451.1436074944,977563.6046699982,978111.445017118,984507.5557827451
2022-03-04,1091683.0543247492,964614.6198022196,1025319.9578241082,974836.3095001678,977423.0664403099,979267.8844013149
2022-03-07,1069740.789256695,942440.8692529032,1002564.7539018365,953042.4603867035,957429.1339746087,956037.3545645248
2022-03-08,1064069.0957523615,934771.4000603983,991484.2656038553,945179.1358742218,938711.4497513248,950655.55066734
2022-03-09,1067829.045410866,963422.3808839151,1010564.1701264535,965788.4331421356,963100.5371286924,969696.5283023505
2022-03-10,1066039.2919216577,951410.713395817,1007513.3260325204,964614.802744339,957829.4447242111,966428.5046134462
2022-03-11,1073430.851179287,939597.1033456156,1000741.8483525659,958505.413279007,943738.6330228944,959731.6620036429
2022-03-14,1073190.7059156152,932148.7512490579,1013408.4961653405,960891.9336685638,937031.3905138794,959762.1596131083
2022-03-15,1088602.03637521,952434.1949950372,1040156.1347227746,979074.2007202606,961544.2821404585,977215.2132090154
2022-03-16,1099405.106195614,975006.5708495294,1050124.0775328332,995588.592020462,977145.526310996,992327.8028725561
2022-03-17,1107692.9862539025,983099.1927214776,1062911.5957670861,1007191.5132164459,991017.7671664049,1004495.0972816844
2022-03-18,1112312.003069088,993305.9511138116,1071248.7828474694,1013479.2549957733,1004449.1129843084,1012482.170847153
2022-03-21,1106394.296053097,987399.1923857842,1064591.5283461267,998463.4432510834,995957.8149242341,1006599.204740694
2022-03-22,1111707.5183507653,998817.7802458917,1068206.7541914636,1005109.2522797089,1003686.3034655793,1014012.513578833
2022-03-23,1101991.858816311,987786.5190764581,1051814.57013995,985866.2421287994,991943.8308161113,1000933.3634061004
2022-03-24,1114938.993620083,1000268.8616057549,1059907.7934294397,994830.2189812164,1003790.9094610235,1011113.3061297692
2022-03-25,1123522.844160244,1004313.0771819268,1065648.6299391442,995059.3158630829,1000317.5361633891,1015579.1575695408
2022-03-28,1125987.8529035302,1007576.6075926934,1071072.6551161462,997008.7586998444,1006796.786238499,1018336.5738940007
2022-03-29,1134232.376257107,1018749.5701934014,1085396.1454954797,1006506.2623047333,1018242.7880680463,1028191.9674303739
